Department,Population,Area,Density
Nord,2576770,5743,449
Paris,2243833,105,21370
Bouches-du-Rhône,1972018,5087,388
Rhône,1725177,3249,531
Hauts-de-Seine,1572490,176,8935
Seine-Saint-Denis,1522048,236,6449
Pas-de-Calais,1461387,6671,219
Gironde,1449245,10725,145
Yvelines,1408765,2284,617
Val-de-Marne,1327732,245,5419
Seine-et-Marne,1324865,5915,224
Loire-Atlantique,1282052,6815,188
Seine-Maritime,1250411,6278,199
Haute-Garonne,1243641,6309,197
Essonne,1215340,1804,674
Isère,1206374,7431,162
Val-d'Oise,1171161,1246,940
Bas-Rhin,1095905,4755,230
Alpes-Maritimes,1078729,4299,251
Moselle,1045066,6216,168
Hérault,1044558,6101,171
Var,1008183,5973,169
Ille-et-Vilaine,988140,6775,146
Finistère,897628,6733,133
La Réunion,821136,2504,328
Oise,803595,5860,137
Maine-et-Loire,784810,7166,110
Haut-Rhin,749782,3525,213
Loire,748947,4781,157
Haute-Savoie,738088,4388,168
Meurthe-et-Moselle,732207,5246,140
Morbihan,721657,6823,106
Gard,709700,5853,121
Calvados,683105,5548,123
Loiret,656105,6775,97
Pyrénées-Atlantiques,653515,7645,85
Vendée,634778,6720,94
Puy-de-Dôme,632311,7970,79
Charente-Maritime,622323,6864,91
Ain,597341,5762,104
Côtes-d'Armor,591641,6878,86
Indre-et-Loire,590515,6127,96
Eure,586543,6040,97
Somme,570741,6170,93
Marne,565307,8162,69
Sarthe,563518,6206,91
Saône-et-Loire,555663,8575,65
Vaucluse,555240,3567,152
Aisne,540508,7369,73
Doubs,527770,5234,101
Côte-d'Or,524358,8763,60
Manche,498747,5938,84
Drôme,484715,6530,74
Pyrénées-Orientales,448543,4116,109
Eure-et-Loir,428933,5880,73
Vienne,427193,6990,61
Savoie,414959,6028,69
Dordogne,414149,9060,46
Guadeloupe,403355,"1,628[3]",248
Martinique,394173,1128,349
Landes,384320,9243,42
Vosges,379724,5874,65
Haute-Vienne,376191,5520,68
Tarn,375379,5758,65
Deux-Sèvres,369270,5999,62
Aude,356467,6139,58
Charente,351577,5956,59
Allier,342908,7340,47
Yonne,342510,7427,46
Lot-et-Garonne,331123,5361,62
Loir-et-Cher,330079,6343,52
Ardèche,315090,5529,57
Cher,311257,7235,43
Mayenne,306337,5175,59
Aube,303327,6004,51
Orne,291642,6103,48
Ardennes,283250,5229,54
Aveyron,276805,8735,32
Jura,261534,4999,52
Corrèze,243551,5857,42
Tarn-et-Garonne,241698,3718,65
Haute-Saône,239548,5360,45
Indre,231176,6791,34
Hautes-Pyrénées,229458,4464,51
Guyane,229040,83534,3
Haute-Loire,224006,4977,45
Nièvre,219584,6817,32
Mayotte,"212,645[6]",376,566
Meuse,193923,6211,31
Gers,188159,6257,30
Haute-Marne,184039,6211,30
Lot,174578,5217,33
Haute-Corse,166093,4666,36
Alpes-de-Haute-Provence,160149,6925,23
Ariège,152038,4890,31
Cantal,148162,5726,26
Corse-du-Sud,143600,4014,36
Territoire de Belfort,142911,609,235
Hautes-Alpes,136971,5549,25
Creuse,123029,5565,22
Lozère,77082,5167,15
