State,Area,Population,Density
Baden-Württemberg ,35752,10755000,301
Bayern,70552,12542000,178
Berlin ,892,3469000,3890
Brandenburg ,29479,2500000,85
Bremen,419,661000,1577
Hamburg,755,1788000,2368
Hessen,21115,6066000,287
Niedersachsen,47609,7914000,166
Mecklenburg-Vorpommern ,23180,1639000,71
Nordrhein-Westfalen,34085,17837000,523
Rheinland-Pfalz,19853,3999000,202
Saarland ,2569,1018000,400
Sachsen,18416,4143000,227
Sachsen-Anhalt,20446,2331000,116
Schleswig-Holstein ,15799,2833000,179
Thüringen,16172,2231000,138
