State,Population,Rural Pop,Urban Pop,Area,Density 
Uttar Pradesh,199581477 ,155111022 ,44470455 ,240928,828 
Maharashtra,112372972 ,61545441 ,50827531 ,307713,365 
Bihar,103804637 ,92075028 ,11729609 ,94163,1102 
West Bengal,91347736 ,62213676 ,29134060 ,88752,1029 
Madhya Pradesh,72597565 ,52537899 ,20059666 ,308245,236 
Tamil Nadu,72138958 ,37189229 ,34949729 ,130058,555 
Rajasthan,68621012 ,51540236 ,17080776 ,342239,201 
Karnataka,61130704 ,37552529 ,23578175 ,191791,319 
Gujarat,60383628 ,34670817 ,25712811 ,196024,308 
Andhra Pradesh,49386799  ,,,160205,
Odisha,41947358 ,34951234 ,6996124 ,155707,269 
Telangana,35286757 ,21585313 ,13608665 ,114840,307 
Kerala,33387677 ,17445506 ,15932171 ,38863,859 
Jharkhand,32966238 ,25036946 ,7929292 ,79714,414 
Assam,31169272 ,26780526 ,4388756 ,78438,397 
Punjab,27704236 ,17316800 ,10387436 ,50362,550 
Chhattisgarh,25540196 ,19603658 ,5936538 ,135191,189 
Haryana,25353081 ,16531493 ,8821588 ,44212,573 
Jammu and Kashmir,12548926 ,9134820 ,3414106 ,222236,56 
Uttarakhand,10116752 ,7025583 ,3091169 ,53483,189 
Himachal Pradesh,6856509 ,6167805 ,688704 ,55673,123 
Tripura,3671032 ,2710051 ,960981 ,10486,350 
Meghalaya,2964007 ,2368971 ,595036 ,22429,132 
Manipur,2721756 ,1899624 ,822132 ,22327,122
Nagaland,1980602 ,1406861 ,573741 ,16579,119 
Goa,1457723 ,551414 ,906309 ,3702,394 
Arunachal Pradesh,1382611 ,1069165 ,313446 ,83743,17 
Mizoram,1091014 ,529037 ,561997 ,21081,52 
Sikkim,607688 ,455962 ,151726 ,7096,86 
Delhi,16753235 ,419319 ,16333916 ,1484,11297 
Puducherry,1244464 ,394341 ,850123 ,479,2598 
Chandigarh,1054686 ,29004 ,1025682 ,114,9252 
Andaman and Nicobar Islands,379944 ,244411 ,135533 ,8249,46 
Dadra and Nagar Haveli,342853 ,183024 ,159829 ,491,698 
Daman and Diu,242911 ,60331 ,182580 ,112,2169 
Lakshadweep,64429 ,14121 ,50308 ,32,2013 
